,일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,밥,국,메인,중식계,석식계
90,2016-06-16,목,2637,73,263,336,0.0,유부초밥,냉모밀국수,치킨핑거*요거트D,800.0,524.0
91,2016-06-17,금,2637,165,291,60,0.0,밥,소고기미역국,유산슬,694.0,484.0
92,2016-06-20,월,2637,101,257,344,0.0,밥,호박잎찌개,쇠불고기,1146.0,585.0
93,2016-06-21,화,2637,49,248,349,0.0,김밥/맑은국,비빔국수,콘샐러드,1091.0,645.0
94,2016-06-22,수,2637,47,258,0,0.0,밥,닭곰탕,찹쌀순대볶음,1022.0,467.0
95,2016-06-23,목,2637,53,271,346,0.0,작은밥/맑은국,토마토스파게티,양송이스프,877.0,588.0
96,2016-06-24,금,2637,169,284,52,0.0,밥,순두부찌개,해물누룽지탕,805.0,475.0
97,2016-06-27,월,2637,96,227,300,0.0,밥,김치찌개,모둠장조림,1142.0,609.0
98,2016-06-28,화,2637,63,253,226,0.0,볶음밥/짜장소스,계란국,탕수만두,917.0,535.0
99,2016-06-29,수,2637,67,248,0,0.0,밥,청국장찌개,아귀콩나물찜,820.0,487.0
100,2016-06-30,목,2637,76,247,151,0.0,주먹밥,김치말이국수,감자버터구이,886.0,446.0
101,2016-07-01,금,2643,145,215,41,0.0,밥,차돌박이된장찌개,깐풍기,879.0,513.0
102,2016-07-04,월,2643,88,190,385,0.0,밥,열무된장국,닭볶음탕,1292.0,582.0
103,2016-07-05,화,2643,55,226,376,0.0,굴소스파인볶음밥,맑은국,탕수어,952.0,551.0
104,2016-07-06,수,2643,56,224,0,0.0,밥,시금치국,오징어볶음,939.0,484.0
105,2016-07-07,목,2643,64,238,340,0.0,밥,함박스테이크,단호박스프,857.0,494.0
106,2016-07-08,금,2643,155,260,60,0.0,밥,알탕,고추잡채*꽃빵,863.0,534.0
107,2016-07-11,월,2643,121,210,366,0.0,밥,부대찌개,가자미튀김,1115.0,630.0
108,2016-07-12,화,2643,72,223,382,0.0,볶음밥,쌀국수,수제핫도그,919.0,519.0
109,2016-07-13,수,2643,79,241,0,0.0,밥,쇠고기샤브국,황태양념구이,866.0,483.0
110,2016-07-14,목,2643,84,252,308,0.0,멸치주먹밥,물냉면,과일샐러드,781.0,550.0
111,2016-07-15,금,2643,189,261,55,0.0,밥,오징어국,쇠고기장조림,867.0,503.0
112,2016-07-18,월,2643,126,208,343,0.0,밥,느타리버섯국,고등어카레구이,1158.0,596.0
113,2016-07-19,화,2643,111,233,263,0.0,콩나물밥,맑은국,너비아니*부추생채,888.0,424.0
114,2016-07-20,수,2643,124,238,0,0.0,밥,동태찌개,치킨핑거,844.0,443.0
115,2016-07-21,목,2643,115,255,263,0.0,볶음밥*자장소스,계란파국,유산슬,733.0,446.0
116,2016-07-22,금,2643,251,272,47,0.0,밥,돈육김치찌개,깐풍기,661.0,501.0
117,2016-07-25,월,2643,277,180,247,0.0,밥,콩가루배추국,돈까스,1086.0,584.0
118,2016-07-26,화,2643,260,185,269,0.0,충무김밥,잔치국수,오징어무침,927.0,582.0
119,2016-07-27,수,2643,299,192,0,0.0,밥,어묵국,닭볶음탕,872.0,423.0
120,2016-07-28,목,2643,340,204,197,0.0,카레라이스,맑은국,순대야채볶음,816.0,434.0
121,2016-07-29,금,2643,486,207,36,0.0,밥,아욱국,등뼈묵은지찜,671.0,472.0
122,2016-08-01,월,2644,512,109,238,0.0,밥,콩나물국,소불고기,1055.0,510.0
123,2016-08-02,화,2644,460,167,268,0.0,밥,짬뽕수제비국,모둠장조림,829.0,515.0
124,2016-08-03,수,2644,485,183,0,0.0,주먹밥,냉모밀국수,소고기퀘사디아,802.0,363.0
125,2016-08-04,목,2644,467,200,262,0.0,오므라이스,가쯔오장국,떡볶이,671.0,456.0
126,2016-08-05,금,2644,538,212,46,0.0,밥,쇠고기무국,쭈꾸미볶음,641.0,448.0
127,2016-08-08,월,2644,421,180,255,0.0,밥,북어국,찜닭,1038.0,480.0
128,2016-08-09,화,2644,392,182,286,0.0,작은밥,콩국수,멕시칸샐러드,874.0,470.0
129,2016-08-10,수,2644,411,188,0,0.0,밥,닭개장,해물청경채볶음,842.0,451.0
130,2016-08-11,목,2644,413,202,295,0.0,볶음밥,스파게티/크림스프,치킨텐더,845.0,530.0
131,2016-08-12,금,2644,587,215,60,0.0,밥,김치찌개,삼치된장구이,708.0,410.0
132,2016-08-16,화,2644,352,177,351,0.0,김밥볶음밥,미소장국,과일샐러드,1023.0,561.0
133,2016-08-17,수,2644,311,191,0,0.0,밥,콩비지찌개,돈육굴소스볶음,924.0,465.0
134,2016-08-18,목,2644,274,215,364,0.0,유부초밥,김치우동,왕새우튀김,943.0,574.0
135,2016-08-19,금,2644,345,237,59,0.0,밥,된장찌개,훈제오리/무쌈/양파절임,754.0,532.0
136,2016-08-22,월,2644,115,159,458,0.0,밥,무채국,돈육볶음,1266.0,729.0
137,2016-08-23,화,2644,86,211,386,0.0,김치볶음밥,유부장국,허니버터옥수수,1145.0,563.0
138,2016-08-24,수,2644,113,209,0,0.0,밥,감자국,등갈비김치찜,941.0,588.0
139,2016-08-25,목,2644,123,241,308,0.0,콩국수,작은밥,춘권,885.0,508.0
140,2016-08-26,금,2644,194,269,70,0.0,밥,콩나물냉국,주꾸미볶음,813.0,489.0
141,2016-08-29,월,2644,132,202,352,0.0,밥,차돌박이찌개,닭갈비,1258.0,568.0
142,2016-08-30,화,2644,96,242,268,0.0,굴소스해물볶음밥,맑은국,수제고로케*케찹,901.0,514.0
143,2016-08-31,수,2644,98,236,0,0.0,밥,청국장찌개,깐풍육,915.0,498.0
144,2016-09-01,목,2769,99,250,336,0.0,참치주먹밥,로제파스타/스프,고구마치즈구이,953.0,468.0
145,2016-09-02,금,2769,177,279,76,0.0,밥,알탕,돈육장조림,832.0,460.0
146,2016-09-05,월,2769,100,225,447,0.0,밥,어묵국,제육볶음,1164.0,554.0
147,2016-09-06,화,2769,59,253,477,0.0,볶음밥/짜장소스,유부장국,멕시칸샐러드,784.0,560.0
148,2016-09-07,수,2769,65,241,0,0.0,밥,얼갈이된장국,닭오븐구이,926.0,504.0
149,2016-09-08,목,2769,69,255,438,0.0,김밥,잔치국수,새우까스*타르타르,758.0,548.0
150,2016-09-09,금,2769,137,288,86,0.0,밥,쇠고기미역국,자반고등어구이,682.0,485.0
151,2016-09-12,월,2769,328,176,306,0.0,볶음밥,쌀국수,미니햄버거,924.0,504.0
152,2016-09-13,화,2769,511,108,52,0.0,밥,참치김치찌개,주꾸미볶음,820.0,238.0
153,2016-09-19,월,2769,167,180,550,0.0,밥,수제비국,탕평채,1271.0,662.0
154,2016-09-20,화,2769,69,227,588,0.0,콩나물밥,맑은국,장어강정,1039.0,627.0
155,2016-09-21,수,2769,58,246,0,0.0,밥,고추장찌개,쇠고기모둠장조림,1068.0,603.0
156,2016-09-22,목,2769,137,253,403,0.0,유부초밥,꼬지어묵우동,모듬떡볶이,891.0,533.0
157,2016-09-23,금,2769,165,278,99,0.0,밥,콩나물국,수제돈까스,716.0,562.0
158,2016-09-26,월,2769,70,224,494,0.0,밥,무채맑은국,갈치조림,1185.0,710.0
159,2016-09-27,화,2769,56,233,380,0.0,쇠고기숙주규동덮밥,미소장국,탕수어,1033.0,550.0
160,2016-09-28,수,2769,50,225,0,0.0,밥,조갯살미역국,미니채소떡갈비,1128.0,591.0
161,2016-09-29,목,2769,153,227,331,0.0,충무김밥,잔치국수,오징어무침,1044.0,622.0
162,2016-09-30,금,2769,158,256,59,0.0,밥,근대된장국,돈육강정,843.0,539.0
163,2016-10-04,화,2670,59,239,1035,0.0,밥,콩비지찌개,닭볶음,1262.0,902.0
164,2016-10-05,수,2670,41,228,0,0.0,밥,순두부찌개,미니함박조림,1336.0,905.0
165,2016-10-06,목,2670,56,245,378,0.0,작은밥,짬뽕,군만두,1196.0,352.0
166,2016-10-07,금,2670,144,252,80,0.0,밥,육개장,코다리엿장조림,843.0,554.0
167,2016-10-10,월,2670,104,216,443,0.0,밥,콩나물국,돈육굴소스볶음,1180.0,546.0
168,2016-10-11,화,2670,69,256,386,0.0,김치볶음밥,미소장국,궁중떡볶음,1014.0,522.0
169,2016-10-12,수,2670,64,251,0,0.0,밥,황태국,닭오븐구이,951.0,527.0
170,2016-10-13,목,2670,66,262,612,0.0,통새우김밥,어묵우동,찹쌀순대볶음,1051.0,667.0
171,2016-10-14,금,2670,144,265,172,0.0,밥,부대찌개,탕수어,898.0,544.0
172,2016-10-17,월,2670,107,241,425,0.0,밥,해물된장찌개,닭매운찜,1196.0,527.0
173,2016-10-18,화,2670,53,262,394,0.0,나가사키면&김,참치주먹밥,개성감자만두,994.0,544.0
174,2016-10-19,수,2670,72,267,0,0.0,밥,어묵국,돼지갈비찜,933.0,475.0
175,2016-10-20,목,2670,105,269,281,0.0,옛날왕돈까스,옥수수스프,샐러드파스타,787.0,564.0
176,2016-10-21,금,2670,228,280,62,0.0,밥,닭개장,해물청경채볶음,760.0,442.0
177,2016-10-24,월,2670,120,223,367,0.0,밥,북어계란국,닭강정,1171.0,600.0
178,2016-10-25,화,2670,73,259,345,0.0,오므라이스,가쯔오장국,훈제오리냉채,1028.0,559.0
179,2016-10-26,수,2670,89,258,0,0.0,밥,쇠고기샤브국,가자미찜,854.0,410.0
180,2016-10-27,목,2670,94,272,240,0.0,밥,바지락수제비,유산슬,807.0,454.0
181,2016-10-28,금,2670,192,277,63,0.0,밥,오징어국,떡갈비조림,731.0,475.0
182,2016-10-31,월,2670,134,223,255,0.0,밥,부대찌개,삼치구이,1224.0,540.0
183,2016-11-01,화,2689,70,212,515,0.0,짜장덮밥,해물짬뽕,군만두,1087.0,578.0
184,2016-11-02,수,2689,73,231,0,0.0,밥,청국장찌개,동파삼겹수육,1006.0,540.0
185,2016-11-03,목,2689,72,283,408,0.0,참치회덮밥,미소장국,새우또띠아/음료,864.0,553.0
186,2016-11-04,금,2689,168,276,81,0.0,밥,순두부찌개,돈육굴소스볶음,803.0,497.0
187,2016-11-07,월,2689,133,222,539,0.0,밥,목살김치찌개,가자미튀김,1156.0,506.0
188,2016-11-08,화,2689,60,250,503,0.0,낙지볶음덮밥,맑은국,언양식불고기,986.0,512.0
189,2016-11-09,수,2689,58,267,0,0.0,밥,뼈해장국,고등어양념구이,920.0,499.0
190,2016-11-10,목,2689,73,267,385,0.0,김밥,계란국,해물볶음우동,795.0,513.0
191,2016-11-11,금,2689,173,286,69,0.0,밥,닭곰탕,미트볼떡조림,652.0,426.0
192,2016-11-14,월,2689,92,227,461,0.0,밥,콩나물국,매운돼지갈비찜,1260.0,539.0
193,2016-11-15,화,2689,66,273,418,0.0,굴소스해물볶음밥,미소장국,미니햄버거,914.0,418.0
194,2016-11-16,수,2689,60,250,0,0.0,밥,동태찌개,수제돈까스,888.0,463.0
195,2016-11-17,목,2689,134,263,411,0.0,생선초밥,우동,떡볶이,882.0,551.0
196,2016-11-18,금,2689,219,287,57,0.0,밥,육개장,탕수어,730.0,388.0
197,2016-11-21,월,2689,94,202,522,0.0,밥,황태국,등갈비김치찜,1235.0,616.0
198,2016-11-22,화,2689,45,238,452,0.0,후난식볶음밥,팽이장국,새우까스*탈탈소스,1046.0,580.0
199,2016-11-23,수,2689,52,251,0,0.0,밥,소고기미역국,쭈꾸미볶음,891.0,482.0
200,2016-11-24,목,2689,61,262,351,0.0,멸치주먹밥,잔치국수,또띠아피자,870.0,498.0
201,2016-11-25,금,2689,200,279,68,0.0,밥,된장찌개,장어강정,720.0,392.0
202,2016-11-28,월,2689,114,219,397,0.0,밥,시금치된장국,닭강정,1246.0,623.0
203,2016-11-29,화,2689,84,218,388,0.0,참치주먹밥,짬뽕,야채튀김,900.0,587.0
204,2016-11-30,수,2689,68,207,0,0.0,*,,,1109.0,0.0
205,2016-12-01,목,2705,84,243,688,0.0,김치볶음밥,미소장국,수제고로케*케찹,956.0,571.0
206,2016-12-02,금,2705,183,272,152,0.0,밥,오징어국,미니함박조림,766.0,448.0
207,2016-12-05,월,2705,101,207,839,0.0,밥,매운감자국,소고기숙주볶음,1110.0,560.0
208,2016-12-06,화,2705,69,222,799,0.0,유부초밥,쌀국수,단호박조림,930.0,593.0
209,2016-12-07,수,2705,69,232,0,0.0,밥,부대찌개,유린기,895.0,468.0
210,2016-12-08,목,2705,76,262,587,0.0,김밥,계란국,해물볶음우동,787.0,512.0
211,2016-12-09,금,2705,196,284,152,0.0,밥,쇠고기무국,주꾸미볶음,621.0,416.0
212,2016-12-12,월,2705,102,193,633,0.0,밥,대구지리,유산슬,1069.0,544.0
213,2016-12-13,화,2705,65,226,511,0.0,주먹밥,양송이스프,토마토스파게티,770.0,482.0
214,2016-12-14,수,2705,82,247,0,0.0,밥,매생이굴국,간장찜닭,904.0,441.0
215,2016-12-15,목,2705,98,234,229,0.0,오므라이스,팽이장국,해물떡볶이,850.0,499.0
216,2016-12-16,금,2705,167,262,37,0.0,밥,미역국,등갈비김치찜,699.0,518.0
217,2016-12-19,월,2705,104,217,197,0.0,밥,육개장,탕수어,1215.0,482.0
218,2016-12-20,화,2705,89,238,126,0.0,충무김밥,잔치국수,오징어무침,790.0,461.0
219,2016-12-21,수,2705,72,230,0,0.0,밥,알탕,돈육장조림,929.0,494.0
220,2016-12-22,목,2705,118,242,32,0.0,작은밥,바지락수제비,사천식탕수육,524.0,213.0
221,2016-12-23,금,2705,343,243,7,0.0,밥,돈육김치찌개,궁중떡볶음,560.0,398.0
222,2016-12-26,월,2705,206,194,63,0.0,밥,청국장찌개,가자미양념찜,1192.0,328.0
223,2016-12-27,화,2705,127,236,51,0.0,해물굴소스볶음밥,맑은국,돈육강정,823.0,314.0
224,2016-12-28,수,2705,166,225,0,0.0,*,,,767.0,0.0
225,2016-12-29,목,2705,242,201,42,0.0,참치주먹밥,김치우동,쇠고기퀘사디아,711.0,343.0
226,2016-12-30,금,2705,529,127,3,0.0,밥,봄동된장국,닭볶음탕,658.0,275.0
227,2017-01-02,월,2697,96,102,272,0.0,밥,매운오징어국,목살간장조림,1273.0,559.0
228,2017-01-03,화,2697,61,158,259,0.0,참치회덮밥,유부주머니국,수제고로케,1041.0,364.0
229,2017-01-04,수,2697,67,170,0,0.0,밥,감자찌개,닭데리야끼구이,949.0,427.0
230,2017-01-05,목,2697,79,207,316,0.0,마파두부덮밥,팽이장국,류산슬,1000.0,531.0
231,2017-01-06,금,2697,189,224,74,0.0,밥,들깨무채국,등갈비묵은지찜,830.0,523.0
232,2017-01-09,월,2697,121,166,445,0.0,밥,콩비지찌개,양파치킨,1322.0,620.0
233,2017-01-10,화,2697,70,199,412,0.0,김치참치주먹밥,가쯔오국,로제스파게티,1186.0,533.0
234,2017-01-11,수,2697,57,223,0,0.0,밥,해물된장찌개,제육볶음,1039.0,514.0
235,2017-01-12,목,2697,85,238,305,0.0,밥,뼈감자탕,삼치된장구이,976.0,416.0
236,2017-01-13,금,2697,191,247,62,0.0,밥,시래기국,소고기장조림,791.0,533.0
237,2017-01-16,월,2697,123,196,432,0.0,밥,감자국,매운돼지갈비찜,1273.0,571.0
238,2017-01-17,화,2697,75,215,380,0.0,후난식볶음밥,맑은국,닭강정,1035.0,469.0
239,2017-01-18,수,2697,59,240,0,0.0,밥,쇠고기샤브국,갈치양념조림,863.0,394.0
240,2017-01-19,목,2697,93,236,334,0.0,김밥,새우튀김우동,펜네베이컨샐러드,866.0,499.0
241,2017-01-20,금,2697,207,267,61,0.0,밥,부대찌개,해물청경채볶음,709.0,446.0
242,2017-01-23,월,2697,108,202,396,0.0,밥,쇠고기매운국,버섯탕수,1152.0,509.0
243,2017-01-24,화,2697,63,218,273,0.0,멸치주먹밥,잔치국수,쇠고기퀘사디아,974.0,396.0
244,2017-01-25,수,2697,79,203,0,0.0,*,,,720.0,0.0
245,2017-01-26,목,2697,369,117,28,0.0,밥,시래기들깨탕,돈육강정,844.0,147.0
246,2017-01-31,화,2697,177,58,278,0.0,김치볶음밥,꼬지어묵우동,해물까스*탈탈소스,1240.0,680.0
247,2017-02-01,수,2632,61,179,0,0.0,밥,차돌박이찌개,장어강정,1260.0,566.0
248,2017-02-02,목,2632,45,217,427,0.0,쇠고기덮밥,장국,야채튀김,1005.0,549.0
249,2017-02-03,금,2632,104,253,92,0.0,밥,소고기무국,고등어김치말이,854.0,582.0
250,2017-02-06,월,2632,49,202,610,0.0,밥,사골우거지국,탕수어,1319.0,768.0
251,2017-02-07,화,2632,40,207,565,0.0,밥,순두부찌개,돈육굴소스볶음,1114.0,554.0
252,2017-02-08,수,2632,52,206,0,0.0,밥,열무된장국,삼겹살구이,1068.0,548.0
253,2017-02-09,목,2632,65,227,377,0.0,유부초밥,쌀국수,순대오징어볶음,953.0,583.0
254,2017-02-10,금,2632,149,284,59,0.0,밥,청국장찌개,미니함박조림,797.0,505.0
255,2017-02-13,월,2632,61,196,505,0.0,밥,부대찌개,고등어구이,1364.0,689.0
256,2017-02-14,화,2632,53,223,444,0.0,짜장덮밥,맑은국,사천식탕수육,997.0,566.0
257,2017-02-15,수,2632,51,233,0,0.0,밥,오징어국,돈육장조림,1045.0,505.0
258,2017-02-16,목,2632,56,240,419,0.0,오므라이스,가쯔오장국,치킨텐더,968.0,567.0
259,2017-02-17,금,2632,144,269,73,0.0,밥,콩비지찌개,고추잡채*꽃빵,753.0,494.0
260,2017-02-20,월,2632,104,199,494,0.0,밥,얼갈이된장국,간장찜닭,1216.0,648.0
261,2017-02-21,화,2632,63,226,445,0.0,날치알김치볶음밥,미역장국,쇠고기퀘사디아,1004.0,559.0
262,2017-02-22,수,2632,75,252,0,0.0,*,,,1065.0,0.0
263,2017-02-23,목,2632,75,272,307,0.0,참치주먹밥,김치우동,케이준샐러드,917.0,534.0
264,2017-02-24,금,2632,174,291,63,0.0,밥,쇠고기샤브국,가자미양념찜,698.0,463.0
265,2017-02-27,월,2632,134,181,368,0.0,밥,황태국,짬뽕불고기,1141.0,563.0
266,2017-02-28,화,2632,156,203,179,0.0,김밥,꼬치어묵탕,쫄면야채무침,956.0,536.0
267,2017-03-02,목,2627,190,215,428,0.0,후난식볶음밥,잔치국수,새우또띠아,1057.0,593.0
268,2017-03-03,금,2627,174,256,70,0.0,밥,해물된장찌개,소고기모듬장조림,926.0,578.0
269,2017-03-06,월,2627,63,201,490,0.0,밥,김치두부국,쇠불고기,1311.0,658.0
